# char|parts|type|mnemonic
# parts: a+b or a+b+c using component glyph/display/id or kanji char
# starters are auto-added from components ∩ kanji
考|土+又|invented|Earth turned again in thought: consider.
知|人+口|invented|Person and mouth knowing: know.
聞|門+耳|etymological|Ear at the gate: hear.
声|口+又|invented|Mouth and hand making voice: voice.
合|人+一+口|etymological|Person, one, mouth: join.
答|合+一|invented|Join under one cover: answer.
問|門+口|etymological|Mouth at the gate: ask.
道|⻌+自|invented|Walk with self ahead: road.
通|⻌+月|invented|Walk through the moon gate: pass.
近|⻌+刀|invented|Walk a knife-cut away: near.
遠|⻌+土+口|invented|Walk past earth and mouth: far.
進|⻌+鳥|invented|Walk like a bird forward: advance.
運|⻌+車|invented|Walk with a cart: carry.
送|⻌+天|invented|Walk something skyward: send.
行|人+十|invented|Person stepping ten: go.
歩|止+少|etymological|Stop then a little: walk.
走|土+止|invented|Earth under stop: run.
帰|刀+止|invented|Knife stop turning home: return.
重|千+田|invented|Thousand rice fields: heavy.
動|重+力|etymological|Heavy with power: move.
乗|千+木|invented|Thousand on a tree: ride.
気|八+一+火|invented|Rising steam of fire: spirit.
百|一+白|etymological|One and white: hundred.
買|冂+貝|invented|Enclosure over shell: buy.
長|一+人|invented|One leading a person: long.
電|雨+田|invented|Rain over the rice field: electricity.
食|人+一+口|invented|Person with one mouth: eat.
飲|食+人|invented|Eat with a person: drink.
駅|車+足|invented|Cart and foot: station.
高|口+冂+口|etymological|Mouths stacked high: tall.
新|立+木+刀|invented|Stand, tree, knife: new.
書|日+手|invented|Sun and hand writing: write.
同|冂+一+口|etymological|Enclosure, one, mouth: same.
事|一+口+手|invented|One mouth and hand: matter.
発|二+儿|invented|Two on legs departing: depart.
業|木+王|invented|Tree under a king: business.
方|一+刀|invented|One and a knife edge: direction.
開|門+二|invented|Gate with two bars: open.
理|王+田|invented|King over the rice field: reason.
不|一+小|invented|One over small: not.
用|冂+十|invented|Enclosure with a cross: use.
度|广+又|invented|Building measured again: degree.
強|力+口|invented|Power from the mouth: strong.
持|扌+土|invented|Hand on the earth: hold.
以|人+止|invented|Person stopping to use: by means of.
世|十+一|invented|Ten across one age: world.
正|一+止|etymological|One and stop: correct.
元|二+儿|etymological|Two on legs: origin.
院|阝+元|invented|Hill by the origin: institute.
界|田+人|invented|Rice field of people: world.
画|一+田|invented|One over a rice field: picture.
集|鳥+木|invented|Birds on a tree: gather.
別|口+力+刂|etymological|Mouth, power, knife: separate.
物|牛+刀|invented|Cow marked by a knife: thing.
品|口+口+口|etymological|Three mouths of goods: goods.
死|夕+人|invented|Evening over a person: death.
特|牛+土|invented|Cow on the earth: special.
台|厶+口|etymological|Private under a mouth: stand.
始|女+台|phonetic|Woman and pedestal sound: begin.
終|糸+冬|phonetic|Thread of winter: end.
真|十+目|invented|Ten eyes seeing truth: true.
有|又+月|etymological|Again hand holding moon: have.
料|火+十|invented|Fire measured by ten: fee.
建|辶+手|invented|Walk of the hand building: build.
急|刀+心|invented|Knife in the heart: urgent.
転|車+二|invented|Cart turning two ways: turn.
究|宀+九|invented|Roof over nine: research.
楽|白+木|invented|White over a tree: comfort.
起|走+又|invented|Run again to rise: wake.
着|王+目|invented|King before the eye: arrive.
病|广+一+人|invented|Building over one person: sick.
質|刀+貝|invented|Knife and shell: quality.
待|人+土|invented|Person on earth waiting: wait.
銀|金+止|invented|Metal that stops light: silver.
映|日+大|invented|Sun on something big: reflect.
験|車+人|invented|Cart testing a person: test.
英|艹+大|invented|Grass around the big: England.
去|土+厶|etymological|Earth and private leaving: leave.
味|口+木|invented|Mouth and tree savor: taste.
写|宀+一|invented|Roof copying one: copy.
歌|口+十+人|invented|Mouth, ten, person singing: song.
悪|一+心|invented|One over the heart: bad.
風|冂+又|invented|Enclosure moving again: wind.
紙|糸+十|invented|Thread marked by ten: paper.
黒|田+土|invented|Rice field earth turned dark: black.
赤|土+火|invented|Earth in fire: red.
青|生+月|etymological|Life under moon-blue: blue.
館|食+宀|invented|Eat under a roof: hall.
色|刀+口|invented|Knife cutting a mouth hue: color.
習|白+日|invented|White under the sun: learn.
旅|方+人|invented|Direction of people: travel.
服|月+又|invented|Moon and again: clothes.
肉|冂+人|invented|Enclosure of a person: meat.
堂|口+土|invented|Mouth over earth hall: hall.
飯|食+又|invented|Eat again: cooked rice.
勉|力+人|invented|Power of a person: effort.
回|冂+口|etymological|Mouth in enclosure: times.
軽|車+土|invented|Cart over earth: light.
低|人+下|invented|Person below: low.
暗|日+音|etymological|Sun covered by sound: dark.
寒|宀+二+人|invented|Roof over two people cold: cold.
暑|日+者|phonetic|Sun and one who: hot.
弱|二+力|invented|Two weak powers: weak.
薬|艹+楽|etymological|Grass of comfort: medicine.
題|日+貝|invented|Sun and shell topic: topic.
研|口+二|invented|Mouth studied twice: polish.
入|人+一|invented|Person under a line: enter.
上|一+十|invented|One rising from a cross: above.
中|口+一|invented|One line through a mouth: middle.
